Plant	Name of Plant	Plant Family	Virus Genome	Virus Type	Virus Family	Name of Virus	Virus Strain	Type of Extract	Active Class	Actve Compound	Title of Paper	Name of Author	Reference of Journal	PMID No.
Angiosperm(Phanerogams)	Ficus sycomorus	Moraceae	RNA	Class VI	Retroviridae	HIV		Methanol extract			Screening of Tanzanian medicinal plants against Plasmodium falciparum and human immunodeficiency virus	Maregesi S. et. al.	Planta Med. 2010 Feb;76(2):195-20	19653145
Angiosperm(Phanerogams)	Indigofera colutea	Fabaceae	RNA	Class VI	Retroviridae	HIV		Methanol extract			Screening of Tanzanian medicinal plants against Plasmodium falciparum and human immunodeficiency virus	Maregesi S. et. al.	Planta Med. 2010 Feb;76(2):195-20	19653145
Angiosperm(Phanerogams)	Lannea schweinfurthii	Anacardiaceae	RNA	Class VI	Retroviridae	HIV		Methanol extract			Screening of Tanzanian medicinal plants against Plasmodium falciparum and human immunodeficiency virus	Maregesi S. et. al.	Planta Med. 2010 Feb;76(2):195-20	19653145
Angiosperm(Phanerogams)	Elaeodendron schlechterianum	Celastraceae	RNA	Class VI	Retroviridae	HIV		Methanol extract			Screening of Tanzanian medicinal plants against Plasmodium falciparum and human immunodeficiency virus	Maregesi S. et. al.	Planta Med. 2010 Feb;76(2):195-20	19653145
Angiosperm(Phanerogams)	Cassia sieberiana	Fabaceae	RNA	Class VI	Retroviridae	HIV					Croton megalobotrys Müll Arg. and Vitex doniana (Sweet): Traditional medicinal plants in a three-step treatment regimen that inhibit in vitro replication of HIV-1	Tietjen I. et. al.	J Ethnopharmacol. 2016 Sep 15;191:331-340	27350006
Angiosperm(Phanerogams)	Vitex doniana	Lamiaceae	RNA	Class VI	Retroviridae	HIV					Croton megalobotrys Müll Arg. and Vitex doniana (Sweet): Traditional medicinal plants in a three-step treatment regimen that inhibit in vitro replication of HIV-2	Tietjen I. et. al.	J Ethnopharmacol. 2016 Sep 15;191:331-341	27350006
Angiosperm(Phanerogams)	Croton megalobotrys	Euphorbiaceae	RNA	Class VI	Retroviridae	HIV					Croton megalobotrys Müll Arg. and Vitex doniana (Sweet): Traditional medicinal plants in a three-step treatment regimen that inhibit in vitro replication of HIV-3	Tietjen I. et. al.	J Ethnopharmacol. 2016 Sep 15;191:331-342	27350006
Angiosperm(Phanerogams)	Cassia sieberiana	Fabaceae	RNA	Class VI	Retroviridae	HIV					Croton megalobotrys Müll Arg. and Vitex doniana (Sweet): Traditional medicinal plants in a three-step treatment regimen that inhibit in vitro replication of HIV-4	Tietjen I. et. al.	J Ethnopharmacol. 2016 Sep 15;191:331-343	27350006
Angiosperm(Phanerogams)	Vitex doniana	Lamiaceae	RNA	Class VI	Retroviridae	HIV					Croton megalobotrys Müll Arg. and Vitex doniana (Sweet): Traditional medicinal plants in a three-step treatment regimen that inhibit in vitro replication of HIV-5	Tietjen I. et. al.	J Ethnopharmacol. 2016 Sep 15;191:331-344	27350006
Angiosperm(Phanerogams)	Combretum molle	Combretaceae	RNA	Class VI	Retroviridae	HIV				Punicalgin, CM-A	Anti-HIV activity against immunodeficiency virus type 1 (HIV-I) and type II (HIV-II) of compounds isolated from the stem bark of Combretum molle	Asres K. et. al.	Ethiop Med J. 2005 Jan;43(1):15-20	16370525
Angiosperm(Phanerogams)	Combretum molle	Combretaceae	RNA	Class VI	Retroviridae	HIV					Anti-HIV activity against immunodeficiency virus type 1 (HIV-I) and type II (HIV-II) of compounds isolated from the stem bark of Combretum molle	Asres K. et. al.	Ethiop Med J. 2005 Jan;43(1):15-20	16370525
Angiosperm(Phanerogams)	Artemisia capillaris	Asteraceae	DNA	Class VII	Hepadnaviridae	HBV (Hepatitis B Virus)				Polyacetylenes- 8-(Z)-decene-4, 6-diyne-1, 3, 10-triol (1), 1, 3S, 8S-trihydroxydec-9-en-4, 6-yne (2), 3S, 8S-dihydroxydec-9-en-4, 6-yne 1-O-β-D-glucopyranoside (3), glucosyl caffeoate, 1-O-ethyl-6-O-caffeoyl-β-D-glucopyranose (4)	Polyacetylenes and anti-hepatitis B virus active constituents from Artemisia capillaris	Zhao Y. et. al.	Fitoterapia. 2014 Jun;95:187-93	24685503
	Helichrysum aureonitens	Asteraceae	DNA	Class I	Herpesviridae	HSV		Crude aqueous extract			Inhibition of herpes simplex virus type 1 by aqueous extracts from shoots of Helichrysum aureonitens (Asteraceae)	Meyer JJ. et. al.	J Ethnopharmacol. 1996 May;52(1):41-3	8733118
Angiosperm(Phanerogams)	Baccharis trinervis	Asteraceae	DNA	Class VI	Retroviridae	HIV		Aqueous extract			Screening of South American plants against human immunodeficiency virus: preliminary fractionation of aqueous extract from Baccharis trinervis	Sanchez Palomino S. et. al.	Biol Pharm Bull. 2002 Sep;25(9):1147-50	12230106
	Baccharis articulata	Asteraceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Study of antiviral and virucidal activities of aqueous extract of Baccharis articulata against Herpes suis virus	Torres CV. et. al.	Nat Prod Commun. 2011 Jul;6(7):993-4	21834241
	Pelargonium sidoides	Geraniaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Efficacy of an aqueous Pelargonium sidoides extract against herpesvirus	Schnitzler P. et. al.	Phytomedicine. 2008 Dec;15(12):1108-16	18691858
	Pelargonium sidoides	Geraniaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Efficacy of an aqueous Pelargonium sidoides extract against herpesvirus	Schnitzler P. et. al.	Phytomedicine. 2008 Dec;15(12):1108-16	18691858
	Salvia officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Comparative in vitro study on the anti-herpetic effect of phytochemically characterized aqueous and ethanolic extracts of Salvia officinalis grown at two different locations	Schnitzler P. et. al.	Phytomedicine. 2008 Jan;15(1-2):62-70	18068963
	Salvia officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Comparative in vitro study on the anti-herpetic effect of phytochemically characterized aqueous and ethanolic extracts of Salvia officinalis grown at two different locations	Schnitzler P. et. al.	Phytomedicine. 2008 Jan;15(1-2):62-70	18068963
	Camellia sinensis	Theaceae	DNA	Class I	Herpesviridae	HSV				Tea Tree oil	Antiviral activity of Australian tea tree oil and eucalyptus oil against herpes simplex virus in cell culture	Schnitzler P. et. al.	Pharmazie. 2001 Apr;56(4):343-	11338678
	Camellia sinensis	Theaceae	DNA	Class I	Herpesviridae	HSV				Tea Tree oil	Antiviral activity of Australian tea tree oil and eucalyptus oil against herpes simplex virus in cell culture	Schnitzler P. et. al.	Pharmazie. 2001 Apr;56(4):343-	11338678
	Eucalyptus obliqua	Myrtaceae	DNA	Class I	Herpesviridae	HSV				Eucalyptus oil	Antiviral activity of Australian tea tree oil and eucalyptus oil against herpes simplex virus in cell culture	Schnitzler P. et. al.	Pharmazie. 2001 Apr;56(4):343-	11338678
	Eucalyptus obliqua	Myrtaceae	DNA	Class I	Herpesviridae	HSV				Eucalyptus oil	Antiviral activity of Australian tea tree oil and eucalyptus oil against herpes simplex virus in cell culture	Schnitzler P. et. al.	Pharmazie. 2001 Apr;56(4):343-	11338678
	Melissa officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV				Melissa Oil	Melissa officinalis oil affects infectivity of enveloped herpesviruses.	Schnitzler P. et. al.	Phytomedicine. 2008 Sep;15(9):734-40	18693101
	Melissa officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV				Melissa Oil	Melissa officinalis oil affects infectivity of enveloped herpesviruses.	Schnitzler P. et. al.	Phytomedicine. 2008 Sep;15(9):734-40	18693101
	Mentha piperita	Lamiaceae	DNA	Class I	Herpesviridae	HSV				Peppermint oil	Virucidal effect of peppermint oil on the enveloped viruses herpes simplex virus type 1 and type 2 in vitro	Schuhmacher A. et. al.	Phytomedicine. 2003;10(6-7):504-10	13678235
	Mentha piperita	Lamiaceae	DNA	Class I	Herpesviridae	HSV				Peppermint oil	Virucidal effect of peppermint oil on the enveloped viruses herpes simplex virus type 1 and type 2 in vitro	Schuhmacher A. et. al.	Phytomedicine. 2003;10(6-7):504-10	13678235
	Melissa officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Melissa officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Mentha x piperita	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Mentha x piperita	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Prunella vulgaris	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous and Ethanol extract			Impact of ethanolic lamiaceae extracts on herpesvirus infectivity in cell culture	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 11	19142040
	Prunella vulgaris	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 12	17091431
	Rosmarinus officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous and Ethanol extract			Impact of ethanolic lamiaceae extracts on herpesvirus infectivity in cell culture	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 11	19142040
	Rosmarinus officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Salvia officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Salvia officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Thymus vulgaris	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous and Ethanol extract			Impact of ethanolic lamiaceae extracts on herpesvirus infectivity in cell culture	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 11	19142040
	Thymus vulgaris	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Mentha piperita	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Melissa officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Mentha x piperita	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Prunella vulgaris	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Rosmarinus officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Salvia officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Thymus vulgaris	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Antiviral effect of aqueous extracts from species of the Lamiaceae family against Herpes simplex virus type 1 and type 2 in vitro	Nolkemper S. et. al.	Planta Med. 2006 Dec;72(15):1378-82. Epub 2006 Nov 7	17091431
	Mentha piperita	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Impact of ethanolic lamiaceae extracts on herpesvirus infectivity in cell culture	Reichling et al., 2008	Forsch Komplementmed. 2008 Dec;15(6):313-20	19142040
	Cajanus cajan	Fabaceae	DNA	Class I	Herpesviridae	HSV		Aqueous and Ethanol extract			Comparative study on the antiherpetic activity of aqueous and ethanolic extracts derived from Cajanus cajan (L.) Millsp	Zu Y. et. al.	Forsch Komplementmed. 2010 Mar;17(1):15-20	20215758
	Cajanus cajan	Fabaceae	DNA	Class I	Herpesviridae	HSV		Aqueous and Ethanol extract			Comparative study on the antiherpetic activity of aqueous and ethanolic extracts derived from Cajanus cajan (L.) Millsp	Zu Y. et. al.	Forsch Komplementmed. 2010 Mar;17(1):15-20	20215758
	Hysopp officinalis	Lamiaceae	DNA	Class I	Herpesviridae	HSV		Hydroalcohol extract			Screening of selected plant extracts for in vitro inhibitory activity on human immunodeficiency virus	Bedoya LM. et. al.	Phytother Res. 2002 Sep;16(6):550-4	12237813
	Dittrichia viscosa	Asteraceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Screening of selected plant extracts for in vitro inhibitory activity on human immunodeficiency virus	Bedoya LM. et. al.	Phytother Res. 2002 Sep;16(6):550-4	12237813
Angiosperm(Phanerogams)	Calendula officinalis	Asteraceae	DNA	Class VI	Retroviridae	HIV		Aqueous extract and Organic extract			Anti-HIV activity of extracts from Calendula officinalis flowers	Kalvatchev Z. et. al.	Biomed Pharmacother. 1997;51(4):176-80	9207986
	Bergenia ligulata	Saxifragaceae	DNA	Class I	Herpesviridae	HSV		Aqueous and Methanol extract			Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-19	16040137
	Bombax cieba	Bombaceae	DNA	Class I	Herpesviridae	HSV		Aqueous and Methanol extract			Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-20	16040137
	Carea arborea	Lecythidaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-21	16040137
	Coccinia cordifolia	Cucurbitaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-22	16040137
	Dypsacus mitis	Dipsaceaceae	DNA	Class I	Herpesviridae	HSV		Aqueous and Methanol extract			Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-23	16040137
	Holoptelia integrifolia	Ulmaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-24	16040137
	Nerium indicum	Apocynaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-25	16040137
	Rhododendron anthopogon	Ericaceae	DNA	Class I	Herpesviridae	HSV		Aqueous and Methanol extract			Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-26	16040137
	Salvia coccinia	Labiateae	DNA	Class I	Herpesviridae	HSV		Aqueous and Methanol extract			Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Cerbera odollam	Apocynaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Willughbeia edulis	Apocynaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Vismia macrophylla	Clusiaceae	DNA	Class I	Herpesviridae	HSV					Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Symphonia globulifera	Clusiaceae	DNA	Class I	Herpesviridae	HSV					Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Eschweilera rufifolia	Lecythidaceae	DNA	Class I	Herpesviridae	HSV					Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Byrsonima verbascifolia	Malphigiaceae	DNA	Class I	Herpesviridae	HSV					Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Iryanthera megistophylla	Menispermaceae	DNA	Class I	Herpesviridae	HSV					Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Virola multinervia	Myristicaceae	DNA	Class I	Herpesviridae	HSV					Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Myrteola nummulari	Myrtaceae	DNA	Class I	Herpesviridae	HSV					Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Polygonum punctatum	Polygonaceae	DNA	Class I	Herpesviridae	HSV					Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Adiantum latifolium	Pteridophyta	DNA	Class I	Herpesviridae	HSV					Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Ampelozizyphus amazonicus	Rhamnaceae	DNA	Class I	Herpesviridae	HSV					Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
	Duroia hirsuta	Rubiaceae	DNA	Class I	Herpesviridae	HSV					Extracts and molecules from medicinal plants against herpes simplex viruses	Khan MT. et. al.	Antiviral Res. 2005 Aug;67(2):107-27	16040137
Angiosperm(Phanerogams)	Bridelia micrantha Baill.	Phyllanthaceae	RNA	Class VI	Retroviridae	HIV		Aqueous and Methanol extract			Evaluation of selected South African medicinal plants for inhibitoryproperties against human immunodeficiency virus type 1 reversetranscriptase and integrase	Bessong PO. et. al.	J Ethnopharmacol. 2005 May 13;99(1):83-91	15848024
Angiosperm(Phanerogams)	Combretum mollec R.Br. ex	Combretaceae	RNA	Class VI	Retroviridae	HIV		Aqueous and Methanol extract			Evaluation of selected South African medicinal plants for inhibitoryproperties against human immunodeficiency virus type 1 reversetranscriptase and integrase	Bessong PO. et. al.	J Ethnopharmacol. 2005 May 13;99(1):83-91	15848024
Angiosperm(Phanerogams)	Elaeodendron transvaalensis	Celastraceae	RNA	Class VI	Retroviridae	HIV		Aqueous and Methanol extract			Evaluation of selected South African medicinal plants for inhibitoryproperties against human immunodeficiency virus type 1 reversetranscriptase and integrase	Bessong PO. et. al.	J Ethnopharmacol. 2005 May 13;99(1):83-91	15848024
Angiosperm(Phanerogams)	Mucuna coriacea Baker	Fabaceae	RNA	Class VI	Retroviridae	HIV		Aqueous and Methanol extract			Evaluation of selected South African medicinal plants for inhibitoryproperties against human immunodeficiency virus type 1 reversetranscriptase and integrase	Bessong PO. et. al.	J Ethnopharmacol. 2005 May 13;99(1):83-91	15848024
Angiosperm(Phanerogams)	Peltophorum africanum sond.	Fabaceae	RNA	Class VI	Retroviridae	HIV		Aqueous and Methanol extract			Evaluation of selected South African medicinal plants for inhibitoryproperties against human immunodeficiency virus type 1 reversetranscriptase and integrase	Bessong PO. et. al.	J Ethnopharmacol. 2005 May 13;99(1):83-91	15848024
Angiosperm(Phanerogams)	Ricinus communis	Euphorbiaceae	RNA	Class VI	Retroviridae	HIV		Aqueous and Methanol extract			Evaluation of selected South African medicinal plants for inhibitoryproperties against human immunodeficiency virus type 1 reversetranscriptase and integrase	Bessong PO. et. al.	J Ethnopharmacol. 2005 May 13;99(1):83-91	15848024
Angiosperm(Phanerogams)	Sutherlandia frutescens	Fabaceae	RNA	Class VI	Retroviridae	HIV		Aqueous and Methanol extract			Evaluation of selected South African medicinal plants for inhibitoryproperties against human immunodeficiency virus type 1 reversetranscriptase and integrase	Bessong PO. et. al.	J Ethnopharmacol. 2005 May 13;99(1):83-91	15848024
Angiosperm(Phanerogams)	Vernonia stipulacea Klatt.	Asteraceae	RNA	Class VI	Retroviridae	HIV		Aqueous and Methanol extract			Evaluation of selected South African medicinal plants for inhibitoryproperties against human immunodeficiency virus type 1 reversetranscriptase and integrase	Bessong PO. et. al.	J Ethnopharmacol. 2005 May 13;99(1):83-91	15848024
Angiosperm(Phanerogams)	Ziziphus mucronata Willd.	Rhamnaceae	RNA	Class VI	Retroviridae	HIV		Aqueous and Methanol extract			Evaluation of selected South African medicinal plants for inhibitoryproperties against human immunodeficiency virus type 1 reversetranscriptase and integrase	Bessong PO. et. al.	J Ethnopharmacol. 2005 May 13;99(1):83-91	15848024
	Griffithsia sp	Wrangeliaceae	RNA	Class IV	Flaviviridae	HCV				Griffithsin	Antiviral lectins from red and blue-green algae show potent in vitro and in vivo activity against hepatitis C virus	Takebe Y. et. al.	PLoS One. 2013 May 21;8(5):e64449	23700478
	Scytonema varium	Scytonemataceae	RNA	Class IV	Flaviviridae	HCV				Scytovirin	Antiviral lectins from red and blue-green algae show potent in vitro and in vivo activity against hepatitis C virus	Takebe Y. et. al.	PLoS One. 2013 May 21;8(5):e64449	23700478
	Limonium sinense	Plumbaginaceae	RNA	Class IV	Flaviviridae	HCV				Gallic Acid	Plant-derived antivirals against hepatitis c virus infection	Jardim ACG. et. al.	Virol J. 2018 Feb 13;15(1):34	29439720
	Bupleurum kao	Apiaceae	RNA	Class IV	Flaviviridae	HCV				Saikosaponin b2	Plant-derived antivirals against hepatitis c virus infection	Jardim ACG. et. al.	Virol J. 2018 Feb 13;15(1):34	29439720
	Marrubium peregrinum L.	Lamiaceae	RNA	Class IV	Flaviviridae	HCV				Ladanein	A plant-derived flavonoid inhibits entry of all HCV genotypes into human hepatocytes. Gastroenterology	Haid S. et. al.	GASTROENTEROLOGY 2012;143:213–222	
	Camellia sinensis	Theaceae	RNA	Class IV	Flaviviridae	HCV				Epigallocatechin-3-gallate	(-)-Epigallocatechin-3-gallate is a new inhibitor of hepatitis C virus entry	Calland N. et. al.	Hepatology. 2012 Mar;55(3):720-9. doi: 10.1002/hep.24803	22105803
	Garcinia mangostana	Clusiaceae	RNA	Class IV	Flaviviridae	HCV		Ethanol extract		Xanthone	Mangosteen xanthones suppress hepatitis C virus genome replication	Choi M. et. al.	Virus Genes. 2014 Oct;49(2):208-22	24986787
	Swietenia macrophylla	Meliaceae	RNA	Class IV	Flaviviridae	HCV				3-hydroxy caruilignan C	Anti-hepatitis C virus activity of 3-hydroxy caruilignan C from Swietenia macrophylla stems	Wu SF. et. al.	J Viral Hepat. 2012 May;19(5):364-70	22497816
	Plumbago indica	Plumbaginaceae	RNA	Class IV	Flaviviridae	HCV				Plumbagin	Plumbagin, a Plant-Derived Compound, Exhibits Antifungal Combinatory Effect with Amphotericin B against Candida albicans Clinical Isolates and Anti-hepatitis C Virus Activity	Hassan ST. et. al.	Phytother Res. 2016 Sep;30(9)	27215409
	Humulus lupulus	Cannabaceae	RNA	Class IV	Flaviviridae	HCV				Xanthohumol	Inhibition of hepatitis C virus replication in vitro by xanthohumol, a natural product present in hops	Lou S. et. al.	Planta Med. 2014 Feb;80(2-3):171-6	24356905
	Coffea arabica	Rubiaceae	RNA	Class IV	Flaviviridae	HCV				Caffeine	Caffeine inhibits hepatitis C virus replication in vitro	Batista MN. et. al.	Arch Virol. 2015 Feb;160(2):399-407	25491197
	Maytrenus ilicifolia	Celastraceae	RNA	Class IV	Flaviviridae	HCV				APS	Natural compounds isolated from Brazilian plants are potent inhibitors of hepatitis C virus replication in vitro	Jardim ACG. et. al.	Antiviral Res. 2015 Mar; 115: 39–47	25557602
	Peperomia bland	Piperaceae	RNA	Class IV	Flaviviridae	HCV				5*362	Plant-derived antivirals against hepatitis c virus infection	Jardim ACG. et. al.	Virol J. 2018 Feb 13;15(1):34	29439720
	Embelia ribes	Primulaceae	RNA	Class IV	Flaviviridae	HCV				Quercetin	Effect of Quercetin on Hepatitis C Virus Life Cycle: From Viral to Host Targets	Rojas A. et. al.	Sci Rep. 2016; 6: 31777.	27546480
	Cynomorium songaricium	Cynomoriaceae	RNA	Class IV	Flaviviridae	HCV				Ursolic acid	Plant-derived antivirals against hepatitis c virus infection	Jardim ACG. et. al.	Virol J. 2018 Feb 13;15(1):34	29439720
	Magnolia officiais	Magnoliaceae	RNA	Class IV	Flaviviridae	HCV				Honokiol	Multiple effects of Honokiol on the life cycle of hepatitis C virus	Lan KH. et. al.	Liver Int. 2012 Jul;32(6):989-97	22098176
	Silybum marianum	Asteraceae	RNA	Class IV	Flaviviridae	HCV				Silibinin	Silymarin”, a Promising Pharmacological Agent for Treatment of Diseases	Karimi G. et. al.	Iran J Basic Med Sci. 2011 Jul-Aug; 14(4): 308–317	23492971
	Teucrium polium	Lamiaceae	RNA	Class IV	Flaviviridae	HCV		Methanol extract			In vitro evaluation of anti-herpes simplex-1 activity of three standardized medicinal plants from Lamiaceae	Ansari M. et. al.	Anc Sci Life. 2014 Jul-Sep; 34(1): 33–38	25737608
	Ziziphora clinopoides	Lamiaceae	RNA	Class IV	Flaviviridae	HCV		Methanol extract			In vitro evaluation of anti-herpes simplex-1 activity of three standardized medicinal plants from Lamiaceae	Ansari M. et. al.	Anc Sci Life. 2014 Jul-Sep; 34(1): 33–38	25737608
